rid,length_label,target_prompt_len,output_len,layer_id,total_prompt_kv_slots,decode_steps,unique_kv_slots_used_decode_union,kv_union_used_to_total_prompt,mean_per_decode_step_used_to_total_prompt,min_token_pos,max_token_pos
ctx016k_req004,16k,16384,1000,24,16384,1000,12481,0.76177979,0.10819403,16384,17383
ctx016k_req004,16k,16384,1000,25,16384,1000,10842,0.66174316,0.10388647,16384,17383
ctx016k_req004,16k,16384,1000,26,16384,1000,13691,0.83563232,0.10824805,16384,17383
ctx016k_req004,16k,16384,1000,27,16384,1000,13522,0.82531738,0.10944934,16384,17383
ctx016k_req004,16k,16384,1000,28,16384,1000,12753,0.77838135,0.10645544,16384,17383
ctx016k_req004,16k,16384,1000,29,16384,1000,14340,0.87524414,0.10739734,16384,17383
ctx016k_req004,16k,16384,1000,30,16384,1000,13632,0.83203125,0.10712012,16384,17383
ctx016k_req004,16k,16384,1000,31,16384,1000,12543,0.76556396,0.10680884,16384,17383
ctx016k_req004,16k,16384,1000,32,16384,1000,12712,0.77587891,0.10647455,16384,17383
ctx016k_req004,16k,16384,1000,33,16384,1000,14226,0.86828613,0.10788324,16384,17383
ctx016k_req004,16k,16384,1000,34,16384,1000,10827,0.66082764,0.10550098,16384,17383
ctx016k_req004,16k,16384,1000,35,16384,1000,12879,0.78607178,0.10723706,16384,17383
ctx016k_req004,16k,16384,1000,36,16384,1000,12999,0.79339600,0.10618176,16384,17383
ctx016k_req004,16k,16384,1000,37,16384,1000,11862,0.72399902,0.10503448,16384,17383
ctx016k_req004,16k,16384,1000,38,16384,1000,14715,0.89813232,0.10791278,16384,17383
ctx016k_req004,16k,16384,1000,39,16384,1000,15009,0.91607666,0.10783850,16384,17383
ctx016k_req004,16k,16384,1000,40,16384,1000,13412,0.81860352,0.10667761,16384,17383
ctx016k_req004,16k,16384,1000,41,16384,1000,11797,0.72003174,0.10558649,16384,17383
ctx016k_req004,16k,16384,1000,42,16384,1000,12503,0.76312256,0.10624487,16384,17383
ctx016k_req004,16k,16384,1000,43,16384,1000,13892,0.84790039,0.10926538,16384,17383
ctx016k_req004,16k,16384,1000,44,16384,1000,12731,0.77703857,0.10237549,16384,17383
ctx016k_req004,16k,16384,1000,45,16384,1000,14576,0.88964844,0.10618695,16384,17383
ctx016k_req004,16k,16384,1000,46,16384,1000,13993,0.85406494,0.10973737,16384,17383
ctx016k_req004,16k,16384,1000,47,16384,1000,10991,0.67083740,0.10662360,16384,17383
ctx016k_req004,16k,16384,1000,48,16384,1000,12515,0.76385498,0.10671857,16384,17383
